,DATE,EXP,GPE,JOB,ORG,Resume_Name
20,June 2018 - P,"
HL Investrade is a Quantitative Asset Management firm which engages in research on financial data using AI.
Data Scientist
● Developing a tactical asset allocation model to diversify portfolio among equities, bonds and commodities like gold.
● Built a multi-objective NSGA-II Portfolio Optimizer to assign weights to each stocks in the portfolio.
● Created new Target Y for the classification data set and generated statistics for each target class to verify high boundary
separations between all classes.
● Worked on Data cleaning module to detect outliers and worked on data visualization to evaluate each feature.
● Created Database in PostgreSQL to store time series data which included fundamental and technical indicators.",,Data Scientist,HL Investrade,100249178.pdf
21,March 2017 - June 2017,"
● Implemented a wrapper based feature subset selection method to reduce the number of features in the dataset.
● Implemented Naive Bayes and Random Forest classifiers to predict the class rank of a given stock. The time series data
on which the model was trained, contained the class ranks assigned to each stock based on their past performance.
● Implemented “Classification Rule Learning with APRIORI-C” to classify stocks based on a set of rules.",,Data Science Intern,HL Investrade,100249178.pdf
22,Engineer 2015 to P,"
TECH KUNJA PVT. LTD.
Managing company from the ground up, strategically and innovatively growing the
business. Developing React and React Native projects.",,founder and Software,TECH KUNJA PVT LTD,100262946.pdf
23,nstructor 2018 to P,"
LINE ACADEMY NEPAL",,Founder and I,LINE ACADEMY NEPAL,100262946.pdf
24,LECTURER 2018 to P,"
SWASTIK COLLEGE
Give Lecture on subjects like Artificial Intelligence, Data Science, Database Management
System, E-commerce, Internet Technology.",,,SWASTIK COLLEGE,100262946.pdf
25,Manager 2016 to 2017,"
LOCUS
An annual technological fest organized by the students of IOE Pulchowk Campus.",,,,100262946.pdf
26,Member 2015 to 2017,"
A youth organization that works on the field of environment, youth, health, science and
technology.",,,Sano Sansar Initiative,100262946.pdf
27,May 2016 – ,"
Highly Automated Driving – Machine learning tools
Working on development of tools for image annotation for training of ML algorithms
Unit testing suites
NDS map compiler - Volvo
Worked on Routing, BMD and Traffic building blocks of Navigation Data Standard
(NDS-2.2.1) maps
Enhanced various testing tools to ease testability.",,till date,Sr Engineer,100280413.pdf
28,June 2010 – April 2018,"
Application development for Daimler’s procurement department
Application development for Daimler’s certificate printing application",,Software Engineer,Capgemini India,100280413.pdf
29,June 2008 – May 2010,"
Involved in development of Dassault’s lathe machining software in CNEXT framework
Testing of software on lathe machines",,Software Engineer,Dassault Systems,100280413.pdf
30,Sep 2004 – May 2008,,,Industrial Engineer,Capgemini India,100280413.pdf
31,June 2018 to P,"
• Worked on converting monolith system into a microservices architecture (tech stack: Python,",,Python Software Engineer,NumbersUSA,100280470.pdf
32,,"
Docker, Kubernetes, Redis, gRPC)
• Designed, built, and maintained API services (RESTful, gRPC)
• Designed and implemented database schemas
• Testing included integration, unit, and manual testing
• Wrote and maintained code base documentation (GitHub Wikis)
• Capable of reading, understanding, and refactoring legacy code",,SQL,AWS,100280470.pdf
33,January 2017 to December 2017,"
• Developed predictive analytics model for rainfall time series data using Recurrent Neural Network
(Python, Keras, MySQL, Scikit-learn)
• Conducted statistical analysis and wrote reports/presentations for Professors (Python, Tableau, Excel)
• Created frontend and content management system for climate change project (PHP, Laravel, MySQL,
Javascript)
• Implemented functions for storm event analysis site (Python, PHP)
• Enhanced storm event system by resolving missing data with data mining/ETL (Python, MySQL)
• Found new solutions for handling heavy computation of large data (Python, Scala, Apache Spark)",,Graduate Assistant,,100280470.pdf
